T07,"Enrolment in primary, secondary and tertiary education levels",,,,,
584,Marshall Islands,2012,Gross enrollment ratio - Tertiary (female),41.1914,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2015,Students enrolled in primary education (thousands),8.2360,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2015,Gross enrollement ratio - Primary (male),93.4888,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2015,Gross enrollment ratio - Primary (female),93.3052,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2015,Students enrolled in secondary education (thousands),5.4540,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2015,Gross enrollment ratio - Secondary (male),73.1049,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2015,Gross enrollment ratio - Secondary (female),80.4220,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2016,Students enrolled in primary education (thousands),7.9410,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2016,Gross enrollement ratio - Primary (male),88.6126,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2016,Gross enrollment ratio - Primary (female),90.0209,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2016,Students enrolled in secondary education (thousands),5.5000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2016,Gross enrollment ratio - Secondary (male),69.7983,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2016,Gross enrollment ratio - Secondary (female),76.4511,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2005,Students enrolled in primary education (thousands),443.6150,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2005,Gross enrollement ratio - Primary (male),89.3942,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2005,Gross enrollment ratio - Primary (female),91.9313,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2005,Students enrolled in secondary education (thousands),92.7960,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2005,Gross enrollment ratio - Secondary (male),23.6072,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2005,Gross enrollment ratio - Secondary (female),20.6701,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2005,Students enrolled in tertiary education (thousands),8.7580,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2005,Gross enrollment ratio - Tertiary (male),4.3401,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2005,Gross enrollment ratio - Tertiary (female),1.4585,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2010,Students enrolled in primary education (thousands),531.3830,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2010,Gross enrollement ratio - Primary (male),94.2092,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2010,Gross enrollment ratio - Primary (female),98.2797,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2010,Students enrolled in secondary education (thousands),110.2060,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2010,Gross enrollment ratio - Secondary (male),21.8373,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2010,Gross enrollment ratio - Secondary (female),18.5784,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2010,Students enrolled in tertiary education (thousands),14.5360,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2010,Gross enrollment ratio - Tertiary (male),6.1724,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2010,Gross enrollment ratio - Tertiary (female),2.5059,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2013,Students enrolled in primary education (thousands),568.9530,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2013,Gross enrollement ratio - Primary (male),93.5172,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2013,Gross enrollment ratio - Primary (female),98.0111,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2013,Students enrolled in secondary education (thousands),171.2650,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2013,Gross enrollment ratio - Secondary (male),30.0750,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2013,Gross enrollment ratio - Secondary (female),28.1490,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2013,Students enrolled in tertiary education (thousands),19.2430,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2013,Gross enrollment ratio - Tertiary (male),7.3451,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2013,Gross enrollment ratio - Tertiary (female),3.2579,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2014,Students enrolled in primary education (thousands),592.2490,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
478,Mauritania,2014,Gross enrollement ratio - Primary (male),94.5446,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
