T11,Expenditure on health,,,,,
462,Maldives,2010,Domestic general government health expenditure (% of total government expenditure),13.6037,Break in the time series.;Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
462,Maldives,2014,Domestic general government health expenditure (% of total government expenditure),14.4006,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
462,Maldives,2015,Domestic general government health expenditure (% of total government expenditure),18.1780,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
462,Maldives,2016,Domestic general government health expenditure (% of total government expenditure),20.1501,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
466,Mali,2000,Current health expenditure (% of GDP),5.1020,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
466,Mali,2005,Current health expenditure (% of GDP),4.9849,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
466,Mali,2010,Current health expenditure (% of GDP),4.4276,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
466,Mali,2014,Current health expenditure (% of GDP),4.4811,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
466,Mali,2015,Current health expenditure (% of GDP),4.1112,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
466,Mali,2016,Current health expenditure (% of GDP),3.8196,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
466,Mali,2000,Domestic general government health expenditure (% of total government expenditure),5.3888,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
466,Mali,2005,Domestic general government health expenditure (% of total government expenditure),8.3608,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
466,Mali,2010,Domestic general government health expenditure (% of total government expenditure),3.1997,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
466,Mali,2014,Domestic general government health expenditure (% of total government expenditure),4.4278,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
466,Mali,2015,Domestic general government health expenditure (% of total government expenditure),4.3845,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
466,Mali,2016,Domestic general government health expenditure (% of total government expenditure),5.3448,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
470,Malta,2000,Current health expenditure (% of GDP),6.5391,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
470,Malta,2005,Current health expenditure (% of GDP),8.6909,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
470,Malta,2010,Current health expenditure (% of GDP),8.2099,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
470,Malta,2014,Current health expenditure (% of GDP),9.4176,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
470,Malta,2015,Current health expenditure (% of GDP),9.3556,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
470,Malta,2016,Current health expenditure (% of GDP),9.2953,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
470,Malta,2000,Domestic general government health expenditure (% of total government expenditure),11.7944,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
470,Malta,2005,Domestic general government health expenditure (% of total government expenditure),14.1989,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
470,Malta,2010,Domestic general government health expenditure (% of total government expenditure),12.8996,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
470,Malta,2014,Domestic general government health expenditure (% of total government expenditure),14.0186,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
470,Malta,2015,Domestic general government health expenditure (% of total government expenditure),14.1685,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
470,Malta,2016,Domestic general government health expenditure (% of total government expenditure),15.8205,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
584,Marshall Islands,2000,Current health expenditure (% of GDP),25.1515,Data refer to fiscal years ending 30 September.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
584,Marshall Islands,2005,Current health expenditure (% of GDP),26.2889,Data refer to fiscal years ending 30 September.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
584,Marshall Islands,2010,Current health expenditure (% of GDP),19.3010,Data refer to fiscal years ending 30 September.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
584,Marshall Islands,2014,Current health expenditure (% of GDP),18.7915,Data refer to fiscal years ending 30 September.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
584,Marshall Islands,2015,Current health expenditure (% of GDP),22.6208,Data refer to fiscal years ending 30 September.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
584,Marshall Islands,2016,Current health expenditure (% of GDP),23.2873,Data refer to fiscal years ending 30 September.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
584,Marshall Islands,2000,Domestic general government health expenditure (% of total government expenditure),26.0623,Data refer to fiscal years ending 30 September.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
