T04,International migrants and refugees,,,,,
288,Ghana,2010,Total population of concern to UNHCR (number),14761.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
288,Ghana,2015,International migrant stock: Both sexes (number),399471.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
288,Ghana,2015,International migrant stock: Both sexes (% total population),1.4483,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
288,Ghana,2015,International migrant stock: Male (% total Population),1.4817,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
288,Ghana,2015,International migrant stock: Female (% total Population),1.4151,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
288,Ghana,2015,Total refugees and people in refugee-like situations (number),18476.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
288,Ghana,2015,"Asylum seekers, including pending cases (number)",2855.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
288,Ghana,2015,Total population of concern to UNHCR (number),21331.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
288,Ghana,2016,Total refugees and people in refugee-like situations (number),16409.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
288,Ghana,2016,"Asylum seekers, including pending cases (number)",2048.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
288,Ghana,2016,Other of concern to UNHCR (number),8871.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
288,Ghana,2016,Total population of concern to UNHCR (number),27328.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
288,Ghana,2017,International migrant stock: Both sexes (number),417642.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
288,Ghana,2017,International migrant stock: Both sexes (% total population),1.4485,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
288,Ghana,2017,International migrant stock: Male (% total Population),1.4797,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
288,Ghana,2017,International migrant stock: Female (% total Population),1.4174,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
288,Ghana,2017,Total refugees and people in refugee-like situations (number),11976.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
288,Ghana,2017,"Asylum seekers, including pending cases (number)",1376.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
288,Ghana,2017,Total population of concern to UNHCR (number),13352.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
288,Ghana,2018,Total refugees and people in refugee-like situations (number),11940.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
288,Ghana,2018,"Asylum seekers, including pending cases (number)",1174.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
288,Ghana,2018,Total population of concern to UNHCR (number),13114.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
292,Gibraltar,2005,International migrant stock: Both sexes (number),9211.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
292,Gibraltar,2005,International migrant stock: Both sexes (% total population),28.7081,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
292,Gibraltar,2010,International migrant stock: Both sexes (number),10369.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
292,Gibraltar,2010,International migrant stock: Both sexes (% total population),31.2423,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
292,Gibraltar,2015,International migrant stock: Both sexes (number),11065.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
292,Gibraltar,2015,International migrant stock: Both sexes (% total population),32.3273,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
292,Gibraltar,2017,International migrant stock: Both sexes (number),11152.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
292,Gibraltar,2017,International migrant stock: Both sexes (% total population),32.2583,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
300,Greece,2005,International migrant stock: Both sexes (number),1190707.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
300,Greece,2005,International migrant stock: Both sexes (% total population),10.5361,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
300,Greece,2005,International migrant stock: Male (% total Population),10.5020,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
300,Greece,2005,International migrant stock: Female (% total Population),10.5695,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
300,Greece,2005,Total refugees and people in refugee-like situations (number),2390.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
300,Greece,2005,"Asylum seekers, including pending cases (number)",8867.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
300,Greece,2005,Other of concern to UNHCR (number),3000.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
300,Greece,2005,Total population of concern to UNHCR (number),14257.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
