X26,Water supply and sanitation services,,,,,
320,Guatemala,2017,"Safely managed drinking water sources, rural (Proportion of population with access)",46.1060,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
320,Guatemala,2017,"Safely managed drinking water sources, total (Proportion of population with access)",55.9908,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
340,Honduras,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",16.5458,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
340,Honduras,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",33.5836,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
340,Honduras,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",17.3627,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
340,Honduras,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",34.0114,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
340,Honduras,2017,"Safely managed drinking water sources, rural (Proportion of population with access)",18.5063,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
340,Honduras,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",34.5176,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
348,Hungary,2005,"Safely managed drinking water sources, total (Proportion of population with access)",56.0837,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
348,Hungary,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",95.1966,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
348,Hungary,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",98.2494,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
348,Hungary,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",96.2234,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
348,Hungary,2010,"Safely managed drinking water sources, total (Proportion of population with access)",70.0267,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
348,Hungary,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",94.9743,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
348,Hungary,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",98.2175,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
348,Hungary,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",95.9826,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
348,Hungary,2017,"Safely managed drinking water sources, total (Proportion of population with access)",89.5728,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
348,Hungary,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",94.6631,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
348,Hungary,2017,"Safely managed sanitation facilities, rural (Proportion of population with access)",98.1728,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
348,Hungary,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",95.6788,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
352,Iceland,2005,"Safely managed drinking water sources, total (Proportion of population with access)",92.6743,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
352,Iceland,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",55.0012,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
352,Iceland,2010,"Safely managed drinking water sources, total (Proportion of population with access)",95.8089,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
352,Iceland,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",65.8657,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
352,Iceland,2017,"Safely managed drinking water sources, total (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
352,Iceland,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",81.7581,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
356,India,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",29.4656,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
356,India,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",11.4140,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
356,India,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",40.0173,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
356,India,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",22.6070,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
